Warehouse,Latitude,Longtitude,City,State
W1,27.59137,76.43122,Roondh Rampur,Rajasthan
W2,26.85383,84.19225,Amwas Khas,Uttar Pradesh
W3,17.20569,81.53633,Rajahmundry,Andhra Pradesh
W4,28.56098,80.49032,Sumer Nagar,Uttar Pradesh
W5,29.25725,77.91551,Bhoomma,Uttar Pradesh
W6,31.91242,76.05651,Kasba,Himachal Pradesh
W7,13.02118,78.3928,Gennerahalli,Karnataka
W8,20.60115,76.2612,Taroda,Maharashtra
W9,23.03439,88.81676,Bangaon,West Bengal
W10,27.33021,95.48732,Lakhipathar,Assam
W11,21.86046,73.78392,Panchmuli,Gujarat
W12,16.27019,75.24948,Bagalkot,Karnataka
W13,17.82108,78.88491,Bhongir,Telangana
W14,26.55461,81.66674,Para,Uttar Pradesh
W15,22.37411,83.58641,Raigarh,Chhattisgarh
W16,23.52274,73.49236,Behdaj,Gujarat
W17,9.60788,77.85228,Moolippatti,Tamil Nadu
W18,12.62172,76.88276,K. Gowdagere,Karnataka
W19,27.47615,79.01114,Khiriya Nagar Shah,Uttar Pradesh
W20,12.52546,79.76196,Kancheepuram,Tamil Nadu
W21,20.41729,86.45314,Parakula,Odisha
W22,24.75631,78.74415,Gangasagar,Uttar Pradesh
W23,24.09555,87.79077,Karkaria,West Bengal
W24,25.83937,86.54676,Parari,Bihar
W25,23.28316,80.48695,Sakari,Madhya Pradesh
W26,23.19029,71.02871,Kutch,Gujarat
W27,24.82048,93.59155,Tamenglong,Manipur
W28,15.69152,78.36632,Nandyal,Andhra Pradesh
W29,14.54547,79.55849,"Bandarupalli,",Andhra Pradesh
W30,19.5598,73.6301,Hinglud,Maharashtra
W31,25.35598,76.39305,Tisaya,Rajasthan
W32,11.67809,92.71646,Port Blair,Andaman and Nicobar
W33,17.70758,82.50955,Anakapalle,Andhra Pradesh
W34,22.5318,77.09682,Dewas,Madhya Pradesh
W35,34.06834,74.79684,Batmaloo,Srinagar
W36,21.32824,82.51482,Dewgaon,Chhattisgarh
W37,23.26714,78.21346,Raisen,Madhya Pradesh
W38,24.04213,82.42423,Suhira,Madhya Pradesh
W39,27.6641,74.46837,Nagaur,Rajasthan
W40,25.39387,84.01259,Kasimpur,Bihar
W41,23.0816,86.36763,Rupapatia,West Bengal
W42,18.64162,77.13884,Wanjarwada,Maharashtra
W43,11.2273,76.97794,Coimbatore,Tamil Nadu
W44,18.83478,74.83712,Mandavgan,Maharashtra
W45,10.5946,79.75781,Venmanacheri,Tamil Nadu
W46,21.36683,80.17494,Purgaon,Maharashtra
W47,26.56603,93.07447,Deusur Sang,Assam
W48,14.32428,76.49978,Chitradurga,Karnataka
W49,26.73609,91.24404,Baksa,Assam
W50,20.70395,78.64692,Wardha,Maharashtra
W51,25.40305,73.72323,Kaklawas,Rajasthan
W52,31.16756,77.65145,Shimla,Himachal Pradesh
W53,23.0597,76.57799,Kalyanpura,Madhya Pradesh